1002301554	20200903	202009	2020	2020.6658	SWE	STOCKHOLM	SWE																		1	0353	035	03	1	7.0	8	1	8	2.33644859813084	4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	0								4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	20210903001500	https://krro.com/2021/09/02/here-they-go-again-abba-announces-first-new-album-in-40-years/
1002301555	20200903	202009	2020	2020.6658	SWE	STOCKHOLM	SWE								USAMED	REUTERS	USA					MED			1	0353	035	03	1	7.0	8	1	8	2.33644859813084	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20210903001500	https://krro.com/2021/09/02/here-they-go-again-abba-announces-first-new-album-in-40-years/
1002301556	20200903	202009	2020	2020.6658	USA	LOS ANGELES	USA																		0	080	080	08	2	5.0	1	1	1	-3.94857667584941	2	California, United States	US	USCA		36.17	-119.746	CA	0								3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	20210903001500	https://www.bozemandailychronicle.com/ap_news/politics/newsom-elder-sharpen-their-attacks-after-poll-shows-support-for-california-recall-effort-waning/article_cec4e22d-09c7-5c8f-ba2f-ae03261cda36.html
1002301557	20200903	202009	2020	2020.6658	USA	UNITED STATES	USA								JUD	PROSECUTOR						JUD			0	112	112	11	3	-2.0	2	1	2	-7.90476190476191	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	3	Glynn County, Georgia, United States	US	USGA		31.2336	-81.5332	1671513	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20210903001500	https://www.npr.org/2021/09/02/1033809949/ahmaud-arbery-former-prosecutor-indicted-misconduct-georgia
1002301558	20200903	202009	2020	2020.6658	USA	UNITED STATES	USA								JUD	PROSECUTOR						JUD			0	112	112	11	3	-2.0	2	1	2	-7.90476190476191	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20210903001500	https://www.npr.org/2021/09/02/1033809949/ahmaud-arbery-former-prosecutor-indicted-misconduct-georgia
1002301559	20200903	202009	2020	2020.6658	USA	MINNESOTA	USA								USALEG	UNITED STATES	USA					LEG			0	071	071	07	2	7.4	2	1	2	2.20588235294117	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20210903001500	https://www.southernminn.com/northfield_news/news/article_f5252cbf-7321-5c01-9e88-a36ca8b371b9.html
1002301560	20200903	202009	2020	2020.6658	USALEG	MINNESOTA	USA					LEG			USA	MINNESOTA	USA								0	071	071	07	2	7.4	6	1	6	2.20588235294117	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20210903001500	https://www.southernminn.com/northfield_news/news/article_f5252cbf-7321-5c01-9e88-a36ca8b371b9.html
1002301561	20200903	202009	2020	2020.6658	VUTGOVEDU	CHARLOT SALWAI	VUT					GOV	EDU												1	173	173	17	4	-5.0	10	1	10	-3.76068376068376	1	Vanuatu	NH	NH		-16	167	NH	0								1	Vanuatu	NH	NH		-16	167	NH	20210903001500	https://www.rnz.co.nz/international/pacific-news/450671/vanuatu-president-pardons-three-former-pms
1002301562	20210804	202108	2021	2021.5863	EDU	STUDENT						EDU			USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	1	2	-1.89075630252101	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20210903001500	https://www.ksro.com/2021/09/02/texas-school-district-closes-after-two-teachers-die-of-covid/
1002301563	20210804	202108	2021	2021.5863	HLH	DOCTOR						HLH			USA	ILLINOIS	USA								1	120	120	12	3	-4.0	10	1	10	1.79372197309417	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20210903001500	https://www.azcentral.com/story/news/nation/2021/09/02/illinois-students-mental-health-five-days-off-school-law/5705035001/
